Indice,Anno,Trimestre,Totale dei contatti,Contatti validi,Contatti non validi,Contatti effettuati da vittime,Contatti effettuati da utenti
0,2018,Primo,9428,5857,3571,2595,3262
1,2018,Secondo,10019,5773,4246,2482,3291
2,2018,Terzo,8315,5306,3009,2213,3093
3,2018,Quarto,10498,6297,4201,2312,3985
4,2019,Primo,10924,5411,5513,2251,3160
5,2019,Secondo,9720,5035,4685,2198,2837
6,2019,Terzo,10774,4929,5845,2137,2792
7,2019,Quarto,9590,5915,3675,2061,3854
8,2020,Primo,8605,5744,2861,2103,3641
9,2020,Secondo,17043,12942,4101,5606,7336
10,2020,Terzo,8151,6144,2007,4125,2019
11,2020,Quarto,9772,6858,2914,3874,2984
