Data chiamata,Chiamate valide
2018-01-01,35
2018-01-02,82
2018-01-03,69
2018-01-04,70
2018-01-05,78
2018-01-06,39
2018-01-07,39
2018-01-08,72
2018-01-09,50
2018-01-10,70
2018-01-11,68
2018-01-12,68
2018-01-13,48
2018-01-14,58
2018-01-15,117
2018-01-16,79
2018-01-17,83
2018-01-18,67
2018-01-19,70
2018-01-20,54
2018-01-21,48
2018-01-22,83
2018-01-23,61
2018-01-24,79
2018-01-25,69
2018-01-26,62
2018-01-27,70
2018-01-28,43
2018-01-29,99
2018-01-30,69
2018-01-31,54
2018-02-01,70
2018-02-02,60
2018-02-03,55
2018-02-04,52
2018-02-05,67
2018-02-06,73
2018-02-07,68
2018-02-08,70
2018-02-09,63
2018-02-10,48
2018-02-11,52
2018-02-12,74
2018-02-13,65
2018-02-14,53
2018-02-15,65
2018-02-16,68
2018-02-17,59
2018-02-18,47
2018-02-19,83
2018-02-20,76
2018-02-21,62
2018-02-22,80
2018-02-23,48
2018-02-24,52
2018-02-25,48
2018-02-26,73
2018-02-27,76
2018-02-28,62
2018-03-01,60
2018-03-02,65
2018-03-03,54
2018-03-04,54
2018-03-05,65
2018-03-06,92
2018-03-07,74
2018-03-08,55
2018-03-09,68
2018-03-10,58
2018-03-11,40
2018-03-12,81
2018-03-13,70
2018-03-14,86
2018-03-15,79
2018-03-16,66
2018-03-17,66
2018-03-18,66
2018-03-19,84
2018-03-20,62
2018-03-21,49
2018-03-22,76
2018-03-23,54
2018-03-24,35
2018-03-25,41
2018-03-26,86
2018-03-27,73
2018-03-28,78
2018-03-29,66
2018-03-30,68
2018-03-31,64
2018-04-01,40
2018-04-02,61
2018-04-03,75
2018-04-04,48
2018-04-05,75
2018-04-06,62
2018-04-07,47
2018-04-08,42
2018-04-09,95
2018-04-10,63
2018-04-11,58
2018-04-12,64
2018-04-13,55
2018-04-14,53
2018-04-15,29
2018-04-16,72
2018-04-17,56
2018-04-18,58
2018-04-19,45
2018-04-20,47
2018-04-21,40
2018-04-22,44
2018-04-23,67
2018-04-24,63
2018-04-25,48
2018-04-26,53
2018-04-27,58
2018-04-28,44
2018-04-29,49
2018-04-30,77
2018-05-01,43
2018-05-02,58
2018-05-03,73
2018-05-04,57
2018-05-05,58
2018-05-06,45
2018-05-07,63
2018-05-08,63
2018-05-09,68
2018-05-10,63
2018-05-11,44
2018-05-12,43
2018-05-13,49
2018-05-14,65
2018-05-15,45
2018-05-16,67
2018-05-17,58
2018-05-18,63
2018-05-19,57
2018-05-20,45
2018-05-21,79
2018-05-22,67
2018-05-23,69
2018-05-24,66
2018-05-25,83
2018-05-26,65
2018-05-27,46
2018-05-28,71
2018-05-29,77
2018-05-30,93
2018-05-31,72
2018-06-01,71
2018-06-02,55
2018-06-03,64
2018-06-04,87
2018-06-05,108
2018-06-06,110
2018-06-07,81
2018-06-08,93
2018-06-09,73
2018-06-10,64
2018-06-11,94
2018-06-12,89
2018-06-13,90
2018-06-14,72
2018-06-15,59
2018-06-16,66
2018-06-17,48
2018-06-18,79
2018-06-19,78
2018-06-20,60
2018-06-21,79
2018-06-22,66
2018-06-23,62
2018-06-24,50
2018-06-25,63
2018-06-26,75
2018-06-27,61
2018-06-28,55
2018-06-29,57
2018-06-30,61
2018-07-01,52
2018-07-02,64
2018-07-03,79
2018-07-04,51
2018-07-05,66
2018-07-06,62
2018-07-07,55
2018-07-08,48
2018-07-09,61
2018-07-10,65
2018-07-11,46
2018-07-12,64
2018-07-13,56
2018-07-14,58
2018-07-15,49
2018-07-16,81
2018-07-17,55
2018-07-18,61
2018-07-19,58
2018-07-20,56
2018-07-21,49
2018-07-22,48
2018-07-23,61
2018-07-24,57
2018-07-25,58
2018-07-26,69
2018-07-27,61
2018-07-28,57
2018-07-29,42
2018-07-30,63
2018-07-31,43
2018-08-01,61
2018-08-02,51
2018-08-03,72
2018-08-04,51
2018-08-05,41
2018-08-06,89
2018-08-07,77
2018-08-08,77
2018-08-09,69
2018-08-10,66
2018-08-11,66
2018-08-12,59
2018-08-13,79
2018-08-14,71
2018-08-15,47
2018-08-16,62
2018-08-17,54
2018-08-18,38
2018-08-19,47
2018-08-20,68
2018-08-21,78
2018-08-22,53
2018-08-23,58
2018-08-24,43
2018-08-25,42
2018-08-26,35
2018-08-27,61
2018-08-28,57
2018-08-29,50
2018-08-30,53
2018-08-31,63
2018-09-01,40
2018-09-02,30
2018-09-03,65
2018-09-04,49
2018-09-05,54
2018-09-06,42
2018-09-07,57
2018-09-08,42
2018-09-09,48
2018-09-10,97
2018-09-11,54
2018-09-12,53
2018-09-13,52
2018-09-14,60
2018-09-15,40
2018-09-16,43
2018-09-17,75
2018-09-18,79
2018-09-19,71
2018-09-20,70
2018-09-21,66
2018-09-22,57
2018-09-23,42
2018-09-24,68
2018-09-25,58
2018-09-26,58
2018-09-27,52
2018-09-28,60
2018-09-29,50
2018-09-30,41
2018-10-01,67
2018-10-02,57
2018-10-03,41
2018-10-04,48
2018-10-05,43
2018-10-06,33
2018-10-07,27
2018-10-08,76
2018-10-09,62
2018-10-10,58
2018-10-11,96
2018-10-12,63
2018-10-13,42
2018-10-14,54
2018-10-15,81
2018-10-16,64
2018-10-17,73
2018-10-18,48
2018-10-19,42
2018-10-20,55
2018-10-21,28
2018-10-22,74
2018-10-23,56
2018-10-24,59
2018-10-25,48
2018-10-26,58
2018-10-27,34
2018-10-28,35
2018-10-29,42
2018-10-30,46
2018-10-31,50
2018-11-01,22
2018-11-02,44
2018-11-03,50
2018-11-04,46
2018-11-05,56
2018-11-06,52
2018-11-07,43
2018-11-08,69
2018-11-09,49
2018-11-10,41
2018-11-11,38
2018-11-12,46
2018-11-13,82
2018-11-14,59
2018-11-15,55
2018-11-16,41
2018-11-17,37
2018-11-18,29
2018-11-19,58
2018-11-20,65
2018-11-21,70
2018-11-22,60
2018-11-23,108
2018-11-24,89
2018-11-25,359
2018-11-26,241
2018-11-27,172
2018-11-28,122
2018-11-29,121
2018-11-30,100
2018-12-01,76
2018-12-02,95
2018-12-03,98
2018-12-04,99
2018-12-05,93
2018-12-06,103
2018-12-07,79
2018-12-08,83
2018-12-09,50
2018-12-10,105
2018-12-11,102
2018-12-12,88
2018-12-13,81
2018-12-14,91
2018-12-15,43
2018-12-16,41
2018-12-17,74
2018-12-18,58
2018-12-19,51
2018-12-20,71
2018-12-21,60
2018-12-22,67
2018-12-23,48
2018-12-24,49
2018-12-25,38
2018-12-26,64
2018-12-27,72
2018-12-28,65
2018-12-29,60
2018-12-30,50
2018-12-31,59
2019-01-01,51
2019-01-02,76
2019-01-03,76
2019-01-04,52
2019-01-05,66
2019-01-06,54
2019-01-07,70
2019-01-08,66
2019-01-09,52
2019-01-10,81
2019-01-11,70
2019-01-12,44
2019-01-13,50
2019-01-14,67
2019-01-15,68
2019-01-16,58
2019-01-17,46
2019-01-18,79
2019-01-19,41
2019-01-20,40
2019-01-21,66
2019-01-22,54
2019-01-23,65
2019-01-24,61
2019-01-25,50
2019-01-26,51
2019-01-27,24
2019-01-28,70
2019-01-29,71
2019-01-30,67
2019-01-31,57
2019-02-01,54
2019-02-02,42
2019-02-03,39
2019-02-04,62
2019-02-05,73
2019-02-06,59
2019-02-07,59
2019-02-08,60
2019-02-09,60
2019-02-10,44
