Indice,Anno,Trimestre,0:00 - 3:00,3:00 - 6:00,6:00 - 9:00,9:00 - 12:00,12:00 - 15:00,15:00 - 18:00,19:00 - 21:00,22:00 - 0:00
0,2018,Primo,193,91,317,1418,1108,1251,904,575
1,2018,Secondo,234,81,299,1330,1153,1159,919,598
2,2018,Terzo,237,97,260,1247,1015,1080,813,557
3,2018,Quarto,230,94,299,1371,1397,1369,927,610
4,2019,Primo,209,81,258,1225,1073,1147,860,558
5,2019,Secondo,253,97,246,1063,959,1027,838,552
6,2019,Terzo,276,93,254,1041,908,998,786,573
7,2019,Quarto,276,92,301,1312,1279,1180,860,615
8,2020,Primo,252,120,317,1244,1121,1210,869,611
9,2020,Secondo,703,265,543,2543,2763,2646,2143,1336
10,2020,Terzo,307,82,389,1212,1209,1149,1034,762
11,2020,Quarto,285,62,437,1435,1413,1360,1151,715
