Indice,Anno,Trimestre,Lunedì,Martedi,Mercoledì,Giovedì,Venerdì,Sabato,Domenica
0,2018,Primo,1019,928,887,895,838,702,588
1,2018,Secondo,973,902,888,856,815,724,615
2,2018,Terzo,932,822,740,766,776,645,625
3,2018,Quarto,1126,953,871,894,843,710,900
4,2019,Primo,853,827,842,799,874,655,561
5,2019,Secondo,860,797,760,695,739,657,527
6,2019,Terzo,849,785,762,683,705,594,551
7,2019,Quarto,1092,1041,829,857,810,699,587
8,2020,Primo,946,944,746,846,840,702,720
9,2020,Secondo,2095,1908,2089,1833,1857,1664,1496
10,2020,Terzo,1036,942,990,905,800,764,707
11,2020,Quarto,1034,1058,1191,1004,881,894,796
