Indice,Anno,Trimestre,Lunedì,Martedi,Mercoledì,Giovedì,Venerdì,Sabato,Domenica
0,2018,Primo,461,422,372,404,357,342,237
1,2018,Secondo,420,428,393,392,340,275,234
2,2018,Terzo,386,312,318,355,316,302,224
3,2018,Quarto,419,374,351,348,309,257,254
4,2019,Primo,353,364,350,333,345,255,251
5,2019,Secondo,400,357,335,302,297,272,235
6,2019,Terzo,383,332,340,315,297,239,231
7,2019,Quarto,390,345,270,321,313,212,210
8,2020,Primo,348,350,271,336,307,247,244
9,2020,Secondo,932,792,954,804,823,718,583
10,2020,Terzo,658,626,657,593,522,538,531
11,2020,Quarto,550,618,667,555,507,499,478
