Indice,Anno,Trimestre,Internet,Tv,Conoscenti,Servizio pubblico ,Stampa,Manifesti pubblicitari ,Elenco telefonico,Radio
0,2018,Primo,591,1057,225,164,35,22,33,2
1,2018,Secondo,773,1003,290,261,46,22,53,21
2,2018,Terzo,965,804,260,291,40,11,63,1
3,2018,Quarto,1209,1600,311,299,41,16,58,6
4,2019,Primo,1258,790,248,341,60,21,52,2
5,2019,Secondo,1420,560,271,332,36,25,75,4
6,2019,Terzo,1395,496,291,339,31,21,53,1
7,2019,Quarto,1517,1164,292,256,30,17,40,13
8,2020,Primo,1650,1008,254,190,46,10,23,7
9,2020,Secondo,1767,2403,418,329,42,29,13,5
10,2020,Terzo,550,252,106,175,126,12,6,10
11,2020,Quarto,707,578,168,150,191,13,1,5
