Indice,Anno,Trimestre,Fino a 17 anni,18-24 anni,25-34 anni,35-44 anni,45-54 anni,55-64 anni,65 anni e più
0,2018,Primo,20,140,429,575,571,248,205
1,2018,Secondo,28,154,383,549,567,268,226
2,2018,Terzo,22,161,364,536,510,247,161
3,2018,Quarto,21,151,359,626,523,273,204
4,2019,Primo,19,190,415,577,502,237,169
5,2019,Secondo,32,157,458,613,401,214,153
6,2019,Terzo,22,170,397,532,437,227,184
7,2019,Quarto,26,173,365,503,465,204,133
8,2020,Primo,20,188,388,531,360,189,161
9,2020,Secondo,70,432,959,1215,1068,590,532
10,2020,Terzo,106,245,409,449,465,303,300
11,2020,Quarto,72,256,413,644,520,293,293
